Name,Link,Tags,Difficulty,ID,Image,Notes
Kropmodoku,https://sudokupad.app/rl1s20fdto,"Normal, Kropki, Thermometer",5,1,Kropmodoku.png,
Interconnection,https://sudokupad.app/5h5lqim280,"Normal, Thermometer, German Whispers",6,2,Interconnection.png,
5 Disjoint Thermo,https://sudokupad.app/bv9p0owkts,"Normal, Thermometer, Disjoint Group",8,3,5_Disjoint_Thermo.png,
No valid rope found,https://sudokupad.app/ngi8byc9oo,"Normal, Non-consecutive, Thermometer, Renban",8,4,No_valid_rope_found.png,
Morning exercise,https://sudokupad.app/7sfsqepp6o,"Normal, Thermometer, Renban, German Whispers, Kropki",6,5,Morning_exercise.png,
First Frost,https://sudokupad.app/u0zyjd6g9i,"Normal, Slow Thermometer, Kropki",6,6,First_Frost.png,
Quadphonia,https://sudokupad.app/i466rfbzjb,"Normal, Dutch Whispers, Quadruple, Kropki",8,7,Quadphonia.png,
Fixed Thermometers,https://sudokupad.app/clntr6jj9t,"Normal, Fixed Thermometer",7,8,Fixed_Thermometers.png,"This step may vary between thermometers and must be determined by the solver, but it will never be greater than 6. For example, one thermometer could read 2, 4, 6 (step of 2) while another reads 3, 4, 5 (step of 1)."
Locked Mercury,https://sudokupad.app/t92a5ynibk,"Normal, German Whispers, Kropki, Fixed Thermometer",7,9,Locked_Mercury.png,"This step is the same for every thermometer in the grid and must be determined by the solver. For example, if one thermometer reads 4, 6, 8, then every thermometer increases in steps of 2."
GAS: 001,https://sudokupad.app/2qdzo6uw9z,"Normal, German Whispers",1,10,GAS_001.png,
Anti-Knight variant,https://sudokupad.app/gt50fca95t,"Normal, Anti-knight",1,11,Intro_series_Anti_Knight_variant.png,
German Whisper variant,https://sudokupad.app/njq3jir8ui,"Normal, German Whispers",2,12,Intro_series_German_Whisper_variant.png,
Palindrome variant,https://sudokupad.app/3oywryi0an,"Normal, Palindrome, V, X",3,13,Intro_series_Palindrome_variant.png,
Thermo Quadruples variant,https://sudokupad.app/l465f8afg2,"Normal, Thermometer, Quadruple",3,14,Intro_series_Thermo_Quadruples_variant.png,
Renban variant,https://sudokupad.app/0z022lsb8s,"Normal, Renban, Kropki",7,15,Intro_series_Renban_variant.png,
Killer cages variant,https://sudokupad.app/n2i4vj7cqb,"Normal, Killer cages, Even, Odd",4,16,Intro_series_Killer_cages_variant.png,
Arrows variant,https://sudokupad.app/uyykcqnt25,"Normal, Anti-king, Arrow, Maximum, Minimum",6,17,Intro_series_Arrows_variant.png,
Look at the sky,https://sudokupad.app/ibrhnw0yr5,"Normal, Palindrome, Kropki",6,18,Look_at_the_sky.png,
Whispering dance,https://sudokupad.app/5cs1fkcnct,"Normal, German Whispers, Dutch Whispers, V, X, Kropki",8,19,Whispering_dance.png,
Binary Trees,https://sudokupad.app/02n5l1x503,"Normal, Binary Tree, Kropki",9,20,Binary_Trees.png,
Greater Ring,https://sudokupad.app/kn1oto3i4o,"Normal, Greater than, Thermometer",8,21,Greater_ring.png,
Diamond Valley,https://sudokupad.app/a1qtv8wlks,"Normal, German Whispers",8,22,Diamond_Valley.png,
Kropki Practice,https://sudokupad.app/qv355m4xzz,"Normal, Kropki",1,23,Kropki_practice.png,
Kropki Sudoku,https://sudokupad.app/sbttakixm1,"Normal, Kropki",3,24,Kropki_Sudoku.png,
Thermometer Practice,https://sudokupad.app/3ie7cw053h,"Normal, Thermometer",2,25,Thermometer_Practice.png,
Thermo Sudoku,https://sudokupad.app/d8b81xtsyo,"Normal, Thermometer",4,26,Thermo_Sudoku.png,
Thermo 1,https://sudokupad.app/3u116if48k,"Normal, Thermometer",5,27,Thermo_1.png,
Thermo 2,https://sudokupad.app/0s4dj0ef6g,"Normal, Thermometer",5,28,Thermo_2.png,
Thermo 3,https://sudokupad.app/uh1bk12t0l,"Normal, Thermometer",5,29,Thermo_3.png,
German Whispers Practice,https://sudokupad.app/6ydsyquy21,"Normal, German Whispers",2,30,German_Whispers_Practice.png,
German Whispers,https://sudokupad.app/ilu92j6y90,"Normal, German Whispers",4,31,German_Whispers.png,
